,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
423,Steven Benda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
424,Fodé Ballo-Touré,0,0,5,65,1,2.2,13.6,2.0,0,18,1.9,0,0,1,0.1,DEF,4.5,4.5
425,Devan Tanton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
426,Kristian Sekularac,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
427,Joshua King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
428,Adrián San Miguel del Castillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,3.8
429,Trent Alexander-Arnold,3,5,122,2153,28,1027.5,601.8,237.0,19,590,186.8,8,0,6,10.3,DEF,8.0,8.4
430,Alisson Ramses Becker,0,0,107,2520,30,10.4,671.2,0.0,9,575,68.1,8,0,1,9.7,GK,5.5,5.7
431,Stefan Bajcetic,0,0,1,25,2,0.3,7.8,0.0,0,3,0.8,0,0,0,0.0,MID,5.0,4.7
432,Darwin Núñez Ribeiro,11,11,132,2033,25,439.1,660.8,1223.0,9,397,232.4,6,0,9,11.7,FWD,7.5,7.5
433,Diogo Teixeira da Silva,10,7,110,1141,11,290.2,483.8,639.0,7,328,141.4,5,1,1,1.7,MID,8.0,7.9
434,Harvey Elliott,3,9,96,1330,13,570.0,417.2,391.0,8,402,137.5,4,0,2,0.4,MID,5.0,4.8
435,Fabio Henrique Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,5.0
436,Cody Gakpo,8,5,106,1633,20,348.2,521.4,708.0,12,409,157.1,5,0,1,3.1,FWD,7.5,7.1
437,Joe Gomez,0,2,76,1772,19,338.3,316.0,119.0,2,390,77.7,7,0,5,1.3,DEF,4.5,4.5
438,Jordan Henderson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,5.0
439,Curtis Jones,1,1,40,1156,19,203.2,174.0,195.0,2,171,57.0,2,1,3,0.1,MID,5.0,4.9
440,Caoimhin Kelleher,0,0,34,900,11,10.0,261.2,0.0,3,198,27.0,2,0,0,3.9,GK,4.0,3.6
441,Ibrahima Konaté,0,0,56,1570,19,139.9,357.4,87.0,2,315,58.5,6,1,3,2.0,DEF,5.0,4.9
442,Luis Díaz,8,7,142,2625,33,844.0,613.0,1190.0,9,413,264.6,7,0,3,10.0,MID,7.5,7.6
443,Alexis Mac Allister,5,5,109,2600,34,726.7,712.4,224.0,12,512,166.2,6,1,7,3.9,MID,6.0,5.9
444,Joel Matip,0,0,21,779,9,33.3,192.8,35.0,0,145,26.1,2,0,2,0.3,DEF,5.0,4.8
445,Nathaniel Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
446,Andrew Robertson,3,2,76,1689,22,936.1,552.2,230.0,8,463,171.9,3,0,2,4.2,DEF,6.5,6.5
447,Mohamed Salah,18,12,211,2531,30,892.2,1033.8,1531.0,24,621,346.0,8,0,2,24.0,MID,12.5,13.4
448,Dominik Szoboszlai,3,4,99,2102,23,830.0,423.4,377.0,7,437,162.8,8,0,1,3.3,MID,7.0,7.1
449,Thiago Alcántara do Nascimento,0,0,1,5,1,0.4,0.6,0.0,0,3,0.1,0,0,0,0.1,MID,5.0,4.7
450,Konstantinos Tsimikas,0,3,48,675,7,267.5,158.8,35.0,4,201,46.2,4,0,0,1.1,DEF,4.5,4.3
451,Sepp van den Berg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
452,Virgil van Dijk,2,2,117,3177,40,176.3,911.2,449.0,8,662,153.8,9,1,3,17.7,DEF,6.0,6.6
453,Jarell Quansah,2,0,49,1188,15,58.8,331.6,104.0,5,263,49.4,2,0,1,0.5,DEF,4.0,4.0
454,Bobby Clark,0,0,5,86,0,5.3,11.6,19.0,0,7,3.6,0,0,0,0.0,MID,4.5,4.4
455,Ben Doak,0,0,1,13,0,0.8,0.2,0.0,0,3,0.1,0,0,0,0.0,MID,4.5,4.3
456,James McConnell,0,0,3,3,0,0.4,1.0,0.0,0,8,0.1,0,0,0,0.0,MID,4.5,4.4
457,Wataru Endo,1,0,47,1714,16,269.5,281.6,53.0,0,250,60.1,6,0,10,0.1,MID,5.5,5.4
458,Ryan Gravenberch,1,0,45,1110,17,229.4,187.0,198.0,3,176,61.5,3,0,0,0.1,MID,5.0,5.0
459,Luke Chambers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
460,Callum Scanlon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,3.9
461,Treymaurice Nyoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
462,Marcelo de Araújo Pitaluga Filho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
463,Conor Bradley,1,3,50,752,7,215.8,230.4,160.0,7,211,60.6,3,0,2,2.1,DEF,4.0,4.1
464,Owen Beck,0,0,1,7,0,0.3,5.0,0.0,0,2,0.5,0,0,0,0.0,DEF,4.5,4.5
465,Kaide Gordon,0,0,1,1,0,0.3,0.2,2.0,0,3,0.3,0,0,0,0.0,MID,4.5,4.5
466,Lewis Koumas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
467,Fabian Mrozek,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
468,Jayden Danns,0,0,1,7,0,3.7,0.0,0.0,0,1,0.2,0,0,1,0.0,FWD,4.5,4.3
469,Amara Nallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
470,Albert Sambi Lokonga,1,3,47,1304,31,154.9,289.8,56.0,4,231,49.9,2,0,4,0.0,MID,5.0,4.9
471,Marvelous Nakamba,0,0,21,1131,24,102.8,146.4,14.0,0,131,26.5,0,0,5,0.4,MID,4.5,4.3
472,Elijah Adebayo,10,1,94,1405,36,177.0,413.6,527.0,9,288,111.8,2,0,1,1.0,FWD,5.0,4.8
473,Mads Juel Andersen,1,0,15,397,6,1.8,126.8,27.0,1,75,15.6,0,0,1,0.5,DEF,4.0,3.8
474,Amari'i Bell,0,0,35,1720,41,119.6,358.2,50.0,3,263,52.7,2,0,0,2.2,DEF,4.0,3.8
475,Luke Berry,2,1,31,309,8,29.7,112.6,117.0,0,94,25.6,0,0,1,0.0,MID,5.0,4.6
476,Reece Burke,0,4,40,1659,37,172.4,406.4,131.0,2,260,70.9,1,0,5,0.2,DEF,4.0,4.0
477,Allan Campbell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
478,Jordan Clark,1,1,44,1297,41,187.5,198.8,177.0,3,156,56.5,1,0,4,0.0,MID,5.0,4.8
479,Alfie Doughty,2,10,101,2923,74,1126.0,690.4,318.0,11,577,213.3,2,0,5,6.2,DEF,4.5,4.3
480,Luke Freeman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
481,Matt Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,4.0
482,John McAtee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,FWD,4.5,4.5
483,Carlos Mendes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
484,Carlton Morris,11,6,146,2859,72,305.6,620.2,908.0,18,451,183.4,3,0,4,4.3,FWD,5.5,4.7
485,Admiral Muskwe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,FWD,4.5,4.5
486,Chiedozie Ogbene,4,4,84,1987,47,378.3,412.6,486.0,7,387,127.7,2,0,1,0.1,FWD,5.0,4.8
487,Fred Onyedinma,0,0,11,403,14,32.8,36.2,71.0,0,19,14.1,0,0,1,0.0,MID,5.0,5.0
488,Gabriel Osho,2,0,41,1846,47,37.9,448.6,103.0,1,286,59.0,2,0,3,0.1,DEF,4.5,4.4
489,Aribim Pepple,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
490,Dion Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
491,Dan Potts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,3.9
492,Glen Rea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
493,James Shea,0,0,1,14,0,0.0,11.0,0.0,0,8,1.1,0,0,0,0.1,GK,4.5,4.2
494,Joe Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,FWD,4.5,4.5
495,Elliot Thorpe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
496,Jack Walton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
497,Louie Watson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,MID,4.5,4.4
498,Cauley Woodrow,1,1,33,406,11,127.1,127.0,103.0,3,118,35.8,0,0,2,0.6,FWD,4.5,4.3
499,Teden Mengi,1,0,42,2467,59,83.0,579.6,95.0,1,345,76.0,1,0,3,1.5,DEF,4.0,3.9
500,Ryan Giles,0,0,11,498,14,108.7,83.2,38.0,0,81,23.1,0,0,0,0.1,DEF,4.5,4.2
501,Tom Lockyer,1,1,23,1169,23,39.2,286.2,80.0,1,162,40.6,0,0,4,0.1,DEF,4.5,4.2
502,Pelly Ruddock Mpanzu,0,0,35,1085,29,102.3,108.8,70.0,0,107,28.0,1,0,1,0.0,MID,5.0,4.6
503,Tahith Chong,4,2,78,1972,51,206.3,303.6,310.0,3,222,81.6,0,0,4,0.2,MID,5.0,4.4
504,Issa Kaboré,0,3,34,1727,39,253.0,326.6,62.0,3,236,64.0,0,0,7,1.9,DEF,4.0,4.0
505,Thomas Kaminski,0,0,86,3405,85,10.0,1116.6,0.0,3,642,112.2,2,0,3,0.7,GK,4.5,4.5
506,Ross Barkley,5,5,101,2616,66,622.8,687.4,379.0,4,498,168.7,2,0,6,0.9,MID,5.0,4.5
507,Jacob Brown,2,1,39,1013,26,116.4,162.6,249.0,3,115,52.0,1,0,4,0.1,FWD,5.0,4.9
508,Aidan Francis-Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
509,Tim Krul,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.5,4.4
510,Joseph Johnson,0,0,0,75,5,0.9,1.0,0.0,0,5,0.2,0,0,1,0.0,DEF,4.0,4.0
511,Andros Townsend,1,4,61,1197,27,293.6,221.4,148.0,3,208,65.9,3,0,1,0.1,MID,5.0,5.0
512,Jayden Luker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
513,Zack Nelson,0,0,2,4,1,0.1,2.0,0.0,0,6,0.2,0,0,0,0.0,MID,4.5,4.5
514,Daiki Hashioka,0,0,4,592,21,51.9,101.4,8.0,0,72,16.2,0,0,0,0.0,DEF,4.0,4.0
515,Axel Piesold,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
516,Dominic Dos Santos Martins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
517,Christian Chigozie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
518,Taylan Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
519,Manuel Akanji,2,0,112,2512,23,298.7,536.4,137.0,8,560,97.4,11,1,2,5.6,DEF,5.0,5.0
520,Nathan Aké,2,3,99,2039,20,197.7,447.2,249.0,6,483,89.7,6,0,0,5.2,DEF,5.0,5.0
521,Julián Álvarez,11,11,158,2644,24,1005.2,737.0,992.0,17,662,273.3,12,0,2,15.4,FWD,6.5,6.4
522,Bernardo Veiga de Carvalho e Silva,6,9,141,2576,26,959.5,747.4,570.0,20,604,228.0,10,0,8,2.9,MID,6.5,6.2
523,Oscar Bobb,1,2,30,294,5,147.1,105.4,107.0,2,112,36.0,1,0,0,0.1,MID,4.5,4.4
524,João Cancelo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,DEF,6.0,5.8
525,Scott Carson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.8
526,Shea Charles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
527,Kevin De Bruyne,4,10,98,1219,8,901.1,527.6,406.0,11,415,183.6,7,0,2,16.6,MID,10.5,10.6
528,Rúben Gato Alves Dias,0,0,88,2557,28,208.5,578.4,225.0,3,513,101.5,9,0,0,7.2,DEF,5.5,5.5
529,Ederson Santana de Moraes,0,0,112,2785,27,10.0,551.8,0.0,5,569,56.0,11,0,5,13.1,GK,5.5,5.5
530,Phil Foden,19,8,230,2860,27,1157.8,1154.8,1172.0,31,866,348.8,14,0,2,43.3,MID,7.5,8.5
531,Jack Grealish,3,1,50,998,13,384.1,240.4,295.0,6,199,91.9,3,0,6,1.5,MID,7.5,7.2
532,Erling Haaland,27,8,217,2553,25,367.2,1094.6,1581.0,29,792,303.3,11,0,1,73.6,FWD,14.0,14.3
533,Mateo Kovačić,1,0,59,1539,14,365.9,265.0,129.0,2,316,76.0,9,0,4,0.3,MID,5.0,4.6
534,Aymeric Laporte,0,0,1,11,0,0.1,11.4,17.0,0,4,2.9,0,0,0,0.1,DEF,5.0,4.9
535,Rico Lewis,2,0,52,804,9,195.9,148.0,114.0,2,215,45.8,4,0,1,0.4,DEF,4.5,4.2
536,Riyad Mahrez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,7.5,7.5
537,Stefan Ortega Moreno,0,0,22,632,7,0.0,171.2,0.0,2,114,17.3,1,0,0,2.3,GK,4.0,3.6
538,Máximo Perrone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
539,Rodrigo Hernandez,8,10,159,2931,26,894.8,1043.8,484.0,19,737,242.3,14,1,8,6.1,MID,5.5,5.6
540,Sergio Gómez,0,1,9,48,2,23.0,22.6,10.0,0,24,5.6,0,0,0,1.0,DEF,4.0,3.8
541,Zack Steffen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.9
542,John Stones,1,0,53,1061,9,128.4,188.4,70.0,3,239,38.7,5,0,2,3.1,DEF,5.5,5.3
543,Kyle Walker,0,5,123,2766,29,534.1,465.4,126.0,13,633,112.6,10,0,2,15.1,DEF,5.0,5.5
544,Matheus Luiz Nunes,0,2,32,831,13,221.3,146.0,150.0,1,118,51.8,2,1,0,0.1,MID,5.0,4.7
545,Joško Gvardiol,4,2,123,2327,23,362.2,544.4,389.0,12,549,129.7,9,0,3,18.1,DEF,5.0,5.2
546,Jérémy Doku,3,10,98,1585,19,640.2,524.2,875.0,13,391,203.9,1,0,3,1.9,MID,6.5,6.4
547,Mahamadou Susoho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
548,Micah Hamilton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
549,Jacob Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
550,Mason Mount,1,0,23,509,13,107.6,105.8,64.0,0,93,27.9,1,0,2,0.8,MID,7.0,6.8
551,Alex Telles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.5,4.5
552,Amad Diallo,1,1,23,385,6,123.8,117.0,114.0,3,68,35.2,1,0,1,0.1,MID,4.5,4.4
553,Antony Matheus dos Santos,1,1,47,1311,26,327.7,247.8,347.0,0,184,91.8,3,0,5,0.6,MID,7.0,6.8
554,Bruno Borges Fernandes,10,9,166,3118,52,1663.0,1101.6,748.0,24,729,351.3,7,0,9,14.6,MID,8.5,8.5
555,Brandon Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
556,Eric Bailly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
557,Carlos Henrique Casimiro,1,3,58,1981,34,247.9,628.4,323.0,0,323,119.9,5,0,7,1.9,MID,5.5,5.3
558,Diogo Dalot Teixeira,2,3,111,3174,55,590.8,738.6,212.0,13,662,154.4,8,1,4,7.4,DEF,5.0,5.2
559,Christian Eriksen,1,2,48,1134,27,400.5,255.4,93.0,4,248,75.0,2,0,1,0.4,MID,6.0,5.8
560,Álvaro Fernández Carreras,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
561,Frederico Rodrigues de Paula Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,5.0
562,Alejandro Garnacho,7,7,131,2564,39,616.8,527.2,1103.0,7,372,224.3,8,0,4,9.8,MID,5.0,5.0
563,Hannibal Mejbri,1,0,11,131,1,29.8,48.2,13.0,0,34,9.0,1,0,1,0.1,MID,4.5,4.3
564,Tom Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.9
565,Victor Lindelöf,1,1,62,1328,16,125.9,263.8,105.0,7,291,49.6,5,0,2,0.2,DEF,4.5,4.5
566,Harry Maguire,2,4,73,1650,29,90.9,493.4,192.0,6,351,77.7,4,0,3,1.3,DEF,4.5,4.3
567,Kobbie Mainoo,3,1,77,1927,31,256.7,413.4,134.0,8,327,80.6,7,0,3,0.9,MID,4.5,4.4
568,Tyrell Malacia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.5,4.3
569,Anthony Martial,1,1,25,439,6,85.0,67.2,97.0,2,73,24.5,1,0,0,0.3,FWD,6.5,6.4
570,Lisandro Martínez,0,1,15,643,12,45.7,144.4,4.0,0,134,19.4,1,0,3,2.1,DEF,5.0,4.7
571,Scott McTominay,7,1,98,1891,30,179.5,539.4,492.0,5,307,121.3,7,0,2,0.8,MID,5.0,4.5
572,Facundo Pellistri Rebollo,0,1,13,164,2,19.3,47.0,66.0,0,36,13.3,0,0,0,0.1,MID,4.5,4.2
573,Raphaël Varane,1,0,44,1370,23,35.3,356.2,85.0,2,273,47.7,3,0,2,2.1,DEF,5.0,4.9
574,Marcus Rashford,7,3,108,2264,37,358.6,453.2,672.0,0,330,148.3,7,0,2,9.5,MID,9.0,8.4
575,Jadon Sancho,0,0,3,76,1,14.8,9.8,12.0,0,11,3.6,0,0,0,0.4,MID,7.0,6.7
576,Luke Shaw,0,1,31,960,13,199.3,197.2,29.0,0,195,42.6,4,0,6,2.7,DEF,5.5,5.2
577,Shola Shoretire,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,FWD,4.5,4.4
578,Donny van de Beek,0,0,1,2,0,10.3,0.0,6.0,0,3,1.6,0,0,0,0.0,MID,5.0,4.7
579,Aaron Wan-Bissaka,0,2,47,1778,34,196.5,397.8,60.0,5,323,65.5,3,0,4,2.0,DEF,4.5,4.4
580,André Onana,0,0,133,3420,58,33.2,1167.8,0.0,10,741,120.2,9,0,5,15.5,GK,5.0,5.0
581,Rasmus Højlund,10,2,112,2156,35,345.8,480.6,648.0,14,362,147.0,6,0,2,5.6,FWD,7.0,7.1
582,Omari Forson,0,1,7,67,2,23.6,24.2,4.0,0,23,5.2,0,0,0,0.0,MID,4.5,4.4
583,Radek Vítek,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
584,Daniel Gore,0,0,1,1,0,0.0,3.0,0.0,0,5,0.3,0,0,0,0.0,MID,4.5,4.5
585,Altay Bayindir,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.9
586,Jonny Evans,0,1,49,1389,24,81.2,330.8,21.0,3,293,43.6,4,0,2,0.6,DEF,4.0,4.0
587,Sofyan Amrabat,0,0,26,929,15,102.5,159.0,6.0,0,125,27.0,2,0,6,0.1,MID,5.0,5.0
588,Joe Hugill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
589,Willy Kambwala,0,0,5,325,10,2.4,53.8,0.0,0,48,5.5,0,0,1,0.1,DEF,4.0,3.9
590,Rhys Bennett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
591,Toby Collyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
592,Habeeb Ogunneye,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
593,Dermot Mee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
594,Harry Amass,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
595,Ethan Wheatley,0,0,3,13,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,FWD,4.5,4.5
596,Louis Jackson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
597,Lewis Hall,1,0,38,773,12,69.1,194.8,85.0,3,171,34.9,2,0,2,0.6,DEF,4.5,4.2
598,Miguel Almirón Rejala,3,1,77,1930,40,369.7,299.8,434.0,4,277,110.1,5,0,2,2.7,MID,6.5,6.0
599,Elliot Anderson,0,2,42,1018,14,223.7,187.4,201.0,3,144,61.1,5,0,3,1.8,MID,4.5,4.2
600,Harrison Ashby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
601,Sven Botman,2,2,51,1375,29,62.9,386.8,104.0,4,298,55.5,3,0,2,4.3,DEF,4.5,4.5
602,Bruno Guimarães Rodriguez Moura,7,9,153,3264,60,948.7,968.4,489.0,15,691,241.0,10,0,8,3.3,MID,6.0,5.8
603,Dan Burn,2,2,97,2725,45,153.8,656.4,286.0,4,493,109.7,8,0,4,12.7,DEF,4.5,4.7
604,Karl Darlow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
605,Martin Dubravka,0,0,75,1984,42,10.0,661.0,0.0,3,426,67.2,4,0,1,8.7,GK,4.0,4.3
606,Ryan Fraser,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
607,Mark Gillespie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.9
608,Anthony Gordon,11,16,183,2896,48,843.7,822.6,905.0,14,594,256.7,12,1,10,20.6,MID,5.5,6.4
609,Isaac Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
610,Jeff Hendrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
611,Alexander Isak,21,4,172,2253,41,362.5,877.4,1054.0,23,645,229.3,7,0,1,41.0,FWD,7.5,8.4
612,Joelinton Cássio Apolinário de Lira,2,1,45,1276,23,314.9,295.2,206.0,3,209,81.6,3,0,6,0.4,MID,6.0,5.8
613,Emil Krafth,0,0,33,909,15,145.4,164.2,28.0,1,187,33.8,3,0,2,0.1,DEF,4.5,4.4
614,Garang Kuol,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
615,Jamaal Lascelles,1,0,46,1077,15,35.4,233.0,69.0,3,212,33.8,5,0,4,1.9,DEF,4.0,3.7
616,Jamal Lewis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
617,Sean Longstaff,6,3,110,2742,50,357.1,550.0,479.0,3,418,138.8,10,0,7,0.4,MID,5.0,4.8
618,Javier Manquillo Gaitán,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
619,Jacob Murphy,3,8,82,1184,21,453.4,377.8,270.0,4,312,110.0,5,0,1,0.2,MID,5.0,4.8
620,Nick Pope,0,0,57,1345,16,0.0,323.0,4.0,1,279,32.7,6,0,1,4.8,GK,5.5,5.3
621,Matt Ritchie,1,0,17,120,5,9.1,70.0,106.0,0,49,18.5,0,0,1,0.2,MID,4.5,4.3
622,Allan Saint-Maximin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,6.0,6.0
623,Fabian Schär,4,3,123,3055,58,166.7,826.6,278.0,12,629,127.4,9,0,5,7.3,DEF,5.0,5.6
624,Matt Targett,0,0,2,77,4,11.9,9.2,0.0,0,15,2.2,0,0,1,0.1,DEF,4.5,4.2
625,Sandro Tonali,1,0,16,437,5,105.0,81.8,50.0,0,86,23.8,1,0,2,1.0,MID,5.5,5.2
626,Kieran Trippier,1,10,111,2235,43,1028.5,719.0,102.0,20,589,185.2,6,0,5,21.2,DEF,6.5,6.6
627,Kell Watts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
628,Joe Willock,1,0,18,415,9,92.5,89.8,106.0,0,60,28.8,1,0,0,0.1,MID,5.5,5.3
629,Callum Wilson,9,1,69,981,15,110.3,366.2,563.0,4,246,103.2,6,0,3,3.0,FWD,8.0,7.8
630,Loris Karius,0,0,1,90,4,0.0,31.8,0.0,0,17,3.2,0,0,0,0.2,GK,4.0,3.9
631,Paul Dummett,0,0,5,18,1,1.1,5.2,4.0,0,10,0.5,0,0,0,0.3,DEF,4.0,3.9
632,Harvey Barnes,5,3,64,788,10,181.5,279.2,334.0,3,205,79.5,2,0,2,1.2,MID,6.5,6.2
633,Tino Livramento,1,0,45,1302,27,193.9,292.0,96.0,4,253,58.4,2,0,1,1.1,DEF,4.5,4.0
634,Alex Murphy,0,0,2,11,0,1.0,2.6,0.0,0,6,0.3,0,0,0,0.4,DEF,4.0,3.9
635,Lewis Miley,1,3,44,1203,29,192.8,237.4,136.0,1,232,56.7,1,0,1,0.1,MID,4.5,4.5
636,Amadou Diallo,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,MID,4.5,4.5
637,Ben Parkinson,0,0,1,24,1,0.0,2.0,0.0,0,2,0.2,0,0,0,0.0,FWD,4.5,4.5
638,Michael Ndiweni,0,0,1,1,0,0.0,0.2,0.0,0,3,0.0,0,0,0,0.0,FWD,4.5,4.4
639,Joe White,0,0,3,12,0,1.1,0.8,0.0,0,9,0.1,0,0,1,0.0,MID,4.5,4.5
640,Travis Hernes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
641,Nuno Varela Tavares,0,0,11,454,9,48.8,61.8,28.0,0,69,13.8,1,0,2,0.2,DEF,4.0,4.0
