,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
105,Dominic Solanke,19,3,175,3325,61,479.6,902.0,1348.0,20,560,272.7,10,0,3,17.8,FWD,6.5,6.9
106,Marcus Tavernier,3,4,89,2118,38,649.4,468.4,460.0,5,324,157.8,8,0,3,0.3,MID,5.5,5.0
107,Hamed Traorè,0,0,3,44,1,14.8,12.8,30.0,0,10,5.7,0,0,0,0.0,MID,5.0,4.7
108,Mark Travers,0,0,19,360,5,0.0,92.6,0.0,2,79,9.3,2,0,0,0.3,GK,4.0,4.0
109,Illia Zabarnyi,1,0,84,3330,67,111.1,686.0,117.0,3,583,91.5,8,0,5,1.9,DEF,4.5,4.4
110,Milos Kerkez,0,2,59,1966,37,216.5,310.0,150.0,1,290,67.7,6,1,4,0.3,DEF,4.5,4.4
111,Ionuț Radu,0,0,2,180,7,0.0,33.0,0.0,0,31,3.3,0,0,0,0.1,GK,4.5,4.3
112,Ben Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
113,Max Aarons,0,1,28,1233,35,114.0,179.6,27.0,0,199,31.8,2,0,1,0.1,DEF,4.5,4.4
114,Alex Scott,1,1,41,1003,25,294.7,197.0,116.0,3,163,60.7,3,0,3,0.0,MID,5.0,4.9
115,Tyler Adams,0,0,5,118,3,14.1,24.6,10.0,1,28,4.9,0,0,0,0.0,MID,5.0,4.9
116,Luis Sinisterra,2,2,43,685,18,251.4,221.4,343.0,2,149,81.7,1,0,0,0.0,MID,5.5,5.5
117,Romain Faivre,0,0,4,37,1,2.5,5.0,13.0,0,9,1.8,0,0,1,0.0,MID,5.0,5.0
118,Max Kinsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
119,Enes Ünal,2,4,40,317,9,58.6,142.4,242.0,3,99,43.7,1,0,1,0.0,FWD,5.0,5.0
120,Dominic Sadi,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,MID,4.5,4.5
121,Michael Dacosta Gonzalez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
122,Callan McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
123,Kristoffer Ajer,2,1,68,1826,33,166.6,406.8,223.0,3,323,79.7,5,0,5,0.7,DEF,4.5,4.4
124,Ellery Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,3.9
125,Shandon Baptiste,1,1,19,222,5,54.8,92.4,60.0,0,83,20.6,0,0,1,0.7,MID,4.5,4.3
126,Mads Bech Sørensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,4.0
127,Mads Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
128,Sergi Canós Tenés,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,5.0
129,Nathan Collins,1,1,84,2649,51,151.5,653.8,180.0,8,489,98.7,7,0,3,0.8,DEF,4.5,4.5
130,Matthew Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
131,Mikkel Damsgaard,0,4,45,829,9,179.1,162.6,103.0,0,155,44.7,5,0,2,0.0,MID,5.0,4.8
132,Josh Dasilva,0,0,3,22,0,15.4,6.8,14.0,0,6,3.6,0,0,0,0.0,MID,5.0,4.7
133,Halil Dervişoğlu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
134,Mark Flekken,0,1,119,3285,63,40.3,921.2,0.0,12,685,96.2,7,0,3,4.5,GK,4.5,4.7
135,Charlie Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,3.9
136,Rico Henry,0,1,13,401,5,67.9,72.8,17.0,0,74,15.7,1,0,1,0.8,DEF,4.5,4.2
137,Aaron Hickey,0,0,17,713,12,28.4,66.6,37.0,0,87,12.9,2,0,5,0.1,DEF,4.5,4.3
138,Vitaly Janelt,1,4,93,3054,52,562.5,503.4,285.0,1,466,135.3,9,0,8,0.1,MID,5.5,5.2
139,Mathias Jensen,3,4,98,2201,45,689.3,481.2,135.0,10,422,130.4,9,0,5,0.7,MID,5.5,5.2
140,Keane Lewis-Potter,3,2,73,1428,29,203.8,280.0,573.0,1,186,105.6,6,0,0,0.1,MID,5.0,4.7
141,Bryan Mbeumo,9,7,127,1957,31,572.1,554.2,576.0,12,364,170.1,5,0,2,6.7,MID,6.5,6.8
142,Ben Mee,2,1,39,1272,28,88.2,334.8,118.0,3,210,54.2,1,1,1,1.1,DEF,5.0,4.7
143,Christian Nørgaard,2,1,74,2504,51,396.2,501.8,316.0,3,414,121.8,6,0,8,0.1,MID,5.5,5.2
144,Frank Onyeka,1,2,39,1147,27,178.3,259.0,189.0,0,150,62.6,1,0,8,0.0,MID,5.0,4.9
145,Ethan Pinnock,2,0,77,2521,46,63.4,653.2,221.0,5,479,94.2,5,0,1,1.4,DEF,4.5,4.5
146,Mads Roerslev Rasmussen,1,2,75,1975,40,281.3,382.0,94.0,3,354,76.3,5,0,1,0.4,DEF,4.5,4.4
147,Kevin Schade,2,2,33,327,5,58.3,105.8,100.0,2,81,26.2,1,0,0,0.1,MID,5.5,5.2
148,Thomas Strakosha,0,0,4,135,2,0.0,42.8,0.0,0,24,4.3,0,0,0,1.2,GK,4.0,3.9
149,Ivan Toney,4,3,57,1449,30,206.5,289.6,524.0,4,159,101.7,3,0,5,3.7,FWD,8.0,7.7
150,Ryan Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
151,Yoane Wissa,12,4,131,2488,40,384.0,592.8,769.0,15,457,173.2,11,0,7,5.1,FWD,6.0,5.7
152,Yegor Yarmoliuk,0,0,33,670,9,66.9,98.4,127.0,0,95,29.0,4,0,2,0.7,MID,4.4,4.2
153,Mathias Jorgensen,1,0,29,1086,24,94.0,216.0,90.0,3,179,40.0,2,0,4,0.3,DEF,4.5,4.3
154,Neal Maupay,6,3,76,1417,37,242.5,325.8,568.0,6,248,112.6,4,0,8,0.9,FWD,5.0,4.9
155,Sergio Reguilón,0,6,74,1524,30,436.3,390.2,111.0,14,350,93.8,5,1,7,3.0,DEF,4.5,4.5
156,Michael Olakigbe,0,0,8,51,0,4.1,4.8,27.0,0,14,3.5,0,0,0,0.0,MID,4.5,4.5
157,Ethan Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
158,Saman Ghoddos,1,0,26,728,20,163.8,139.8,45.0,0,127,35.1,0,0,5,0.0,MID,4.5,4.5
159,Ji-Soo Kim,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
160,Valintino Adedokun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
